
256\ITtxt\LenaIT.txt,Case 1,Case 2,Case 3,Case 4,
 ,3057,4697,4330,4045,

256\ITtxt\PeppersIT.txt,Case 1,Case 2,Case 3,Case 4,
 ,3757,4194,4441,3737,

256\ITtxt\BaboonIT.txt,Case 1,Case 2,Case 3,Case 4,
 ,763,8685,3348,3333,

256\ITtxt\BoatsIT.txt,Case 1,Case 2,Case 3,Case 4,
 ,5431,4157,3409,3132,

256\ITtxt\JetF16IT.txt,Case 1,Case 2,Case 3,Case 4,
 ,5147,3775,3967,3240,

256\ITtxt\TiffanyIT.txt,Case 1,Case 2,Case 3,Case 4,
 ,7515,1015,4283,3316,

256\ITtxt\GoldHillIT.txt,Case 1,Case 2,Case 3,Case 4,
 ,2510,6183,3359,4077,
